Time stamp;;;Electrical load [MWh];;;;Water consumption [m3/h];;;Solar data [Wh/m2];;;Wind speed [10 magl] [m/s];;;Temperature at 2m [¡C];;
Month;Hour of the day;Hour of the year;Load A;Load B;Load A + random;Load B + random;Regime1 (m?/h);Regime2 (m?/h);Regime3 (m?/h); IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 ; IDEAM ; MERRA2; ERA5 
1;14;62;4.8;5.5;4.8;5.5;286.3;107.4;432.2;813;804.5016;664.42;6.033;5.3;6.315; 33.30 ;28.30;32.858
1;15;63;4.8;5.5;4.9;5.5;286.3;107.4;245.4;734.9;736.2046;621.98;5.833;4.98;6.57; 32.92 ;27.23;32.719
1;16;64;5.0;5.4;4.9;5.4;286.3;107.4;56.4;475.6;576.0555;497.92;5.058;4.9;6.447; 32.54 ;26.38;32.296
1;17;65;5.4;4.8;5.4;4.8;286.3;107.4;95.1;281.3;396.9211;318.62;4.867;4.94;6.207; 32.16 ;25.71;31.446
1;18;66;5.1;5.0;5.1;5.1;0.0;107.4;99.1;135.2;182.0667;157.83;4.567;4.82;5.802; 31.78 ;25.18;30.347
1;19;67;4.8;5.1;4.8;5.0;0.0;107.4;121.6;26;16.7315;19;4.525;4.76;5.719; 31.40 ;24.82;29.145
1;20;68;4.8;5.2;4.7;5.3;0.0;107.4;134.8;0;0;0;4.042;4.81;5.746; 30.98 ;24.61;28.132
1;21;69;5.1;5.3;5.1;5.3;0.0;107.4;121.6;0;0;0;3.925;4.81;5.168; 30.55 ;24.49;27.422
1;22;70;5.2;5.6;5.2;5.5;0.0;107.4;95.1;0;0;0;3.925;4.64;4.833; 30.13 ;24.41;26.87
1;23;71;5.1;5.5;5.1;5.4;0.0;107.4;40.9;0;0;0;3.583;4.49;4.836; 29.71 ;24.35;26.43
1;24;72;5.0;5.4;5.0;5.4;0.0;107.4;17.7;0;0;0;3.042;4.61;4.855; 29.28 ;24.33;25.914
1;1;73;4.6;4.0;4.6;4.0;0.0;107.4;9.6;0;0;0;3.058;4.89;4.791; 28.86 ;24.32;25.502
1;2;74;4.8;4.3;4.8;4.3;0.0;107.4;2.4;0;0;0;2.875;5.19;4.736; 28.44 ;24.34;25.18
1;3;75;4.8;4.6;4.9;4.5;0.0;107.4;3.6;0;0;0;3.433;5.28;4.621; 28.02 ;24.53;25.002
